start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,sets_won,games_won,games_against,tiebreaks_won,tiebreaks_total,serve_rating,aces,double_faults,first_serve_made,first_serve_attempted,first_serve_points_made,first_serve_points_attempted,round_num,nation,match_ID
2/14/2011,2/19/2011,MEX,Clay,,,2011,juan-luis-perez-gonzalez,,tomas-legzdins,,jalisco-junior-cup-2011_itf_juniors0,1st Round Qualifying,3,1,16,19,1,1,,,,,,,,-1,MEX,571
2/14/2011,2/19/2011,MEX,Clay,,,2011,juan-manuel-baez-bolanos,,federico-xavier-ruiz-acevedo,,jalisco-junior-cup-2011_itf_juniors0,2nd Round Qualifying,1,0,0,6,0,0,,,,,,,,0,MEX,572
2/14/2011,2/19/2011,MEX,Clay,,,2011,juan-manuel-baez-bolanos,,rafael-gentil,,jalisco-junior-cup-2011_itf_juniors0,1st Round Qualifying,3,2,18,12,0,1,,,,,,,,-1,MEX,573
2/14/2011,2/19/2011,MEX,Clay,,,2011,juan-pablo-dau,,agustin-visokolskis,,jalisco-junior-cup-2011_itf_juniors0,Round of 64,2,0,5,12,0,0,,,,,,,,2,MEX,574
2/14/2011,2/19/2011,MEX,Clay,,,2011,juan-pablo-gonzalez,,marcos-massonneau,,jalisco-junior-cup-2011_itf_juniors0,1st Round Qualifying,2,0,1,12,0,0,,,,,,,,-1,MEX,575
2/14/2011,2/19/2011,MEX,Clay,,,2011,juan-pablo-murra,,alex-fennell,,jalisco-junior-cup-2011_itf_juniors0,Quarter-Finals,3,2,15,11,0,0,,,,,,,,5,MEX,576
2/14/2011,2/19/2011,MEX,Clay,,,2011,juan-pablo-murra,,behzad-kevin-minavi,,jalisco-junior-cup-2011_itf_juniors0,Round of 64,2,2,13,10,1,1,,,,,,,,2,MEX,577
2/14/2011,2/19/2011,MEX,Clay,,,2011,juan-pablo-murra,,ivar-jose-aramburu-contreras,,jalisco-junior-cup-2011_itf_juniors0,Round of 32,2,2,12,2,0,0,,,,,,,,3,MEX,578
2/14/2011,2/19/2011,MEX,Clay,,,2011,juan-pablo-murra,,jorge-andres-forseck-plauchu,,jalisco-junior-cup-2011_itf_juniors0,Round of 16,2,2,14,11,1,1,,,,,,,,4,MEX,579
2/14/2011,2/19/2011,MEX,Clay,,,2011,juan-pablo-murra,,richard-del-nunzio,,jalisco-junior-cup-2011_itf_juniors0,Finals,3,2,19,14,1,2,,,,,,,,7,MEX,580
2/14/2011,2/19/2011,MEX,Clay,,,2011,juan-pablo-murra,,yuanfeng-li,,jalisco-junior-cup-2011_itf_juniors0,Semi-Finals,2,2,12,4,0,0,,,,,,,,6,MEX,581
