year	tournament	start_date	end_date	location	court_surface	prize_money	currency	masters	tournament_id
2011	leon_challenger	4/25/2011	5/1/2011	Mexico	Hard	35000	$	100	597
2018	botswana-international-junior-tournament_itf_juniors0	4/16/2018	4/21/2018	BOT	Hard			0	598
2018	gallipoli-youth-cup_itf_juniors0	4/17/2018	4/21/2018	AUS	Clay			0	599
2011	stabekk-junior-international_itf_juniors1	3/28/2011	4/2/2011	NOR	Hard			0	600
2011	15th-namangan-itf-junior_itf_juniors0	3/28/2011	4/2/2011	UZB	Hard			0	601
2018	germany-f10-futures_itf_procircuit0	7/30/2018	8/5/2018	Germany	Clay			25	602
2011	15th-namangan-itf-junior_itf_juniors1	3/28/2011	4/2/2011	UZB	Hard			0	603
2012	26th-international-pascuas-bowl-2012_itf_juniors0	4/2/2012	4/7/2012	PAR	Clay			0	604
2011	open-junior-du-conseil-general_itf_juniors0	3/28/2011	4/3/2011	GUD	Hard			0	605
2015	kelibia-itf-juniors_itf_juniors0	6/16/2015	6/21/2015	TUN	Hard			0	606
2011	open-junior-du-conseil-general_itf_juniors1	3/28/2011	4/3/2011	GUD	Hard			0	607
2011	international-junior-championships-of-botswana_itf_juniors0	3/29/2011	4/3/2011	BOT	Hard			0	608
2011	international-junior-championships-of-botswana_itf_juniors1	3/29/2011	4/3/2011	BOT	Hard			0	609
2011	34th-african-closed-junior-championships_itf_juniors0	4/4/2011	4/8/2011	BOT	Hard			0	610
2011	34th-african-closed-junior-championships_itf_juniors1	4/4/2011	4/8/2011	BOT	Hard			0	611
2012	26th-international-pascuas-bowl-2012_itf_juniors1	4/2/2012	4/7/2012	PAR	Clay			0	612
2011	gd-tennis-cup_itf_juniors0	4/4/2011	4/9/2011	TUR	Hard			0	613
2015	kelibia-itf-juniors_itf_juniors1	6/16/2015	6/21/2015	TUN	Hard			0	614
2011	gd-tennis-cup_itf_juniors1	4/4/2011	4/9/2011	TUR	Hard			0	615
2011	cap-d'ail-itf-junior-open_itf_juniors0	4/4/2011	4/9/2011	FRA	Clay			0	616
2012	itf-junior-circuit-2012_itf_juniors0	4/2/2012	4/7/2012	TRI	Hard			0	617
2011	cap-d'ail-itf-junior-open_itf_juniors1	4/4/2011	4/9/2011	FRA	Clay			0	618
2015	governor-cup_itf_juniors0	6/22/2015	6/27/2015	RUS	Clay			0	619
2012	itf-junior-circuit-2012_itf_juniors1	4/2/2012	4/7/2012	TRI	Hard			0	620
2018	ecuador-f2-futures_itf_procircuit0	7/30/2018	8/5/2018	ECU	Clay			25	621
